"filename", "language", "C#", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\GunScreenScript.cs", "C#", 38, 0, 0, 6, 10, 54
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\GunScript.cs", "C#", 112, 0, 0, 7, 12, 131
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\Highlight.cs", "C#", 46, 0, 0, 9, 13, 68
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\IntroPanelScript.cs", "C#", 20, 0, 0, 2, 2, 24
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\IntroSceneScript.cs", "C#", 30, 0, 0, 0, 7, 37
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\InventoryScript.cs", "C#", 135, 0, 0, 1, 22, 158
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\KarelScript.cs", "C#", 6, 0, 0, 0, 3, 9
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\MatejController.cs", "C#", 294, 0, 0, 14, 77, 385
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\MatejMovement.cs", "C#", 43, 0, 0, 6, 18, 67
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\MenuControllerScript.cs", "C#", 213, 0, 0, 5, 45, 263
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\MissileScript.cs", "C#", 38, 0, 0, 3, 8, 49
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\MusicControllerScript.cs", "C#", 52, 0, 0, 6, 15, 73
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\NPCScript.cs", "C#", 268, 0, 0, 31, 76, 375
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\ObjectOptimizer.cs", "C#", 12, 0, 0, 2, 5, 19
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\ObjectiveScript.cs", "C#", 16, 0, 0, 0, 5, 21
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\PlayerMovement.cs", "C#", 44, 0, 0, 2, 19, 65
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\PlayerScript.cs", "C#", 400, 0, 0, 28, 98, 526
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\QuestItemScript.cs", "C#", 12, 0, 0, 0, 2, 14
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\SavingStuffScript.cs", "C#", 10, 0, 0, 0, 2, 12
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\SimpleCarController.cs", "C#", 82, 0, 0, 4, 15, 101
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\carEngineScript.cs", "C#", 85, 0, 0, 4, 27, 116
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\mapObjScript.cs", "C#", 26, 0, 0, 0, 7, 33
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\mapPanelScript.cs", "C#", 17, 0, 0, 1, 3, 21
"c:\Users\Coldy\vroom vroom matej\Assets\vroomvroomMatej\Scripts\weaponsSystemsScript.cs", "C#", 7, 0, 0, 0, 2, 9
"Total", "-", 2495, 2, 176, 160, 677, 3510
